# Alpha Cd Cs Cl CmRoll CmPitch CmYaw Cd(f) Cd(r) Cs(f) Cs(r) Cl(f) Cl(r) Ux_final Uy_final k_final omega_final p_final yplus
-9 9.9514883280373792e-02 -9.0077342351083129e-22 -3.0004969345516103e-01 3.0004969345516108e-01 4.4379391515934598e-02 9.9514883280373778e-02 3.4980713509534800e-01 -2.5029225181497416e-01 9.9514883280373778e-02 -9.9514883280373778e-02 -1.0564545521164592e-01 -1.9440423824351510e-01 7.4771690935087852e-09 3.0680893337704953e-08 1.1209520730658470e-09 1.5877707284006280e-08 6.8135457725148853e-13 1.4346213421393184e-02
-8 9.0441478801147113e-02 -8.8518996825025104e-22 -2.7760671996271225e-01 2.7760671996271225e-01 4.4101875580495498e-02 9.0441478801147085e-02 3.2282745936328583e-01 -2.3238598056213869e-01 9.0441478801147085e-02 -9.0441478801147085e-02 -9.4701484400860625e-02 -1.8290523556185162e-01 6.0429711584192343e-09 2.9676841339647861e-08 1.0293186640752119e-09 1.4274021660933851e-08 7.6269705060175177e-13 1.4267957699809488e-02
-7 8.2093804753270244e-02 -8.6525351699313238e-22 -2.5622120142921762e-01 2.5622120142921762e-01 4.3752234389004122e-02 8.2093804753270244e-02 2.9726810380585272e-01 -2.1517429905258251e-01 8.2093804753270244e-02 -8.2093804753270244e-02 -8.4358366325604686e-02 -1.7186283510361294e-01 4.0047228356192246e-09 3.0851546050433121e-08 7.6177749812073153e-10 9.6081054432589384e-09 1.0427171631072261e-12 1.4213837342017487e-02
-6 7.3804320630301234e-02 -8.3462576474744480e-22 -2.2831135218631871e-01 2.2831135218631871e-01 4.1805208269055490e-02 7.3804320630301234e-02 2.6521351250146930e-01 -1.9140919187116809e-01 7.3804320630301234e-02 -7.3804320630301234e-02 -7.2350467824103870e-02 -1.5596088436221484e-01 4.9311702957752777e-09 3.1435274912736867e-08 9.2867421980174232e-10 1.2672420143728790e-08 1.2225038621600410e-12 1.4127363346185119e-02
-4 5.9518949214184741e-02 -7.4826665874961503e-22 -1.6766129099427310e-01 1.6766129099427304e-01 3.5330070552543870e-02 5.9518949214184734e-02 1.9742076560136540e-01 -1.3790181638718069e-01 5.9518949214184734e-02 -5.9518949214184734e-02 -4.8500574944592680e-02 -1.1916071604968043e-01 3.4517140360250341e-09 3.3702305516785661e-08 1.0251395859109111e-09 7.7452632902321869e-09 1.0294806208928921e-12 1.4024338343278400e-02
-3 5.2693464537512599e-02 -6.7730735984125438e-22 -1.1343861403549879e-01 1.1343861403549879e-01 2.6092531968593638e-02 5.2693464537512599e-02 1.3978534630425510e-01 -8.7091881766742485e-02 5.2693464537512599e-02 -5.2693464537512599e-02 -3.0626775049155758e-02 -8.2811838986343034e-02 2.3920019063037418e-09 4.8633454648693918e-08 1.5550745890525801e-09 1.2302341098576920e-08 1.6853694968441969e-12 1.3773945939920743e-02
-2 4.5693402822097454e-02 -5.8964557198671113e-22 -2.6426465707098449e-02 2.6426465707098477e-02 1.0905687135210869e-02 4.5693402822097454e-02 4.9273167118147207e-02 -3.5797642960497499e-03 4.5693402822097454e-02 -4.5693402822097454e-02 -2.3075457183383552e-03 -2.4118919988760094e-02 1.2671588744613669e-09 3.4447431752539797e-08 9.8726089727339767e-10 7.6693812783957744e-09 1.2138500069410641e-12 1.3462268462452886e-02
-1 3.8721349122598551e-02 -4.9995768442460968e-22 9.8450584566693047e-02 -9.8450584566693033e-02 -9.3097131480425754e-03 3.8721349122598551e-02 -7.9089910005393754e-02 1.1781125912799231e-01 3.8721349122598551e-02 -3.8721349122598551e-02 3.9915579135303948e-02 5.8535005431389099e-02 6.7040599516838855e-10 3.3323289609573477e-08 6.6790802314359186e-10 9.8228396320168911e-10 3.7130781773339181e-13 1.2899029899341018e-02
1 2.8501023177243311e-02 -3.5678474965052289e-22 4.3953550754403364e-01 -4.3953550754403359e-01 -5.8070450291864535e-02 2.8501023177243311e-02 -4.2528499595541192e-01 4.5378601913265526e-01 2.8501023177243311e-02 -2.8501023177243311e-02 1.6169730348015229e-01 2.7783820406388138e-01 1.5557494369316789e-09 4.6882927596830741e-08 2.0783582232057300e-09 1.0238508714299910e-08 1.5437353074658240e-12 1.2083496005192151e-02
3 2.1916259860437208e-02 -3.4866241500627162e-22 7.5694017715995288e-01 -7.5694017715995288e-01 -8.4310086653548541e-02 2.1916259860437208e-02 -7.4598204722973427e-01 7.6789830709017148e-01 2.1916259860437208e-02 -2.1916259860437208e-02 2.9416000192642788e-01 4.6278017523352499e-01 2.7488922572629869e-09 4.2772628619299281e-08 3.4112428121193010e-09 2.8389244391234839e-08 2.5808802880469869e-12 1.4782804811126914e-02
4 1.9978738299315301e-02 -3.6999217007323659e-22 9.0145422558451305e-01 -9.0145422558451294e-01 -9.0729742217117132e-02 1.9978738299315287e-02 -8.9146485643485529e-01 9.1144359473417058e-01 1.9978738299315287e-02 -1.9978738299315287e-02 3.5999737057513936e-01 5.4145685500937368e-01 2.6969025108767952e-09 3.2744697618470913e-08 2.9051668247577188e-09 2.6759469701599900e-08 2.1065824493652450e-12 1.6276441256209261e-02
8 1.6847138805085437e-02 -5.9285941004039509e-22 1.3981895192967020e+00 -1.3981895192967022e+00 -9.3930090032097749e-02 1.6847138805085437e-02 -1.3897659498941595e+00 1.4066130886992450e+00 1.6847138805085437e-02 -1.6847138805085437e-02 6.0516466961625326e-01 7.9302484968044873e-01 5.5398825264513658e-09 4.8201985192123632e-08 2.4668181201730862e-09 2.7946189659087611e-08 3.9418162769054240e-12 2.4526294701546464e-02
