# Force coefficients    
# dragDir               : (9.8480778300336347e-01 1.7364800757855070e-01 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000002e+00)
# liftDir               : (-1.7364800757855070e-01 9.8480778300336336e-01 0.0000000000000000e+00)
# rollAxis              : (9.8480778300336347e-01 1.7364800757855070e-01 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000002e+00)
# yawAxis               : (-1.7364800757855070e-01 9.8480778300336336e-01 0.0000000000000000e+00)
# magUInf               : 1.0000000000000000e+00
# lRef                  : 1.0000000000000000e+00
# Aref                  : 1.0000000000000000e+00
# CofR                  : (2.5000000000000000e-01 0.0000000000000000e+00 -5.0000000000000000e-01)
#
# Time                  	Cd                      	Cs                      	Cl                      	CmRoll                  	CmPitch                 	CmYaw                   	Cd(f)                   	Cd(r)                   	Cs(f)                   	Cs(r)                   	Cl(f)                   	Cl(r)                   
2                       	1.1354863774782865e+01	1.0377633513484670e-20	1.8630978753635844e+01	-1.8630978753635844e+01	-7.4084696336090703e+00	1.1354863774782864e+01	-1.2953546866244412e+01	2.4308410641027276e+01	1.1354863774782864e+01	-1.1354863774782864e+01	1.9070197432088518e+00	1.6723959010426992e+01
3                       	1.2098262422266326e+00	-4.9726635098918711e-21	-3.9561012533322798e-01	3.9561012533322798e-01	-8.1061419134208113e-02	1.2098262422266326e+00	1.0005232464465443e+00	2.0930299578008832e-01	1.2098262422266326e+00	-1.2098262422266326e+00	-2.7886648180082207e-01	-1.1674364353240588e-01
4                       	6.6346692481649427e-01	-2.6463068835074484e-21	1.5897164424945669e+00	-1.5897164424945671e+00	-1.6119304331922860e-01	6.6346692481649405e-01	-1.2579829800863200e+00	1.9214499049028142e+00	6.6346692481649405e-01	-6.6346692481649405e-01	6.3366517792805488e-01	9.5605126456651202e-01
5                       	-4.5622696901247423e-01	-1.3058324650761737e-21	3.2715646784900387e-01	-3.2715646784900398e-01	2.2199503530792428e-01	-4.5622696901247423e-01	-5.5526995235524113e-01	9.9042983342766872e-02	-4.5622696901247423e-01	4.5622696901247423e-01	3.8557326923242619e-01	-5.8416801383422340e-02
6                       	1.3185055459258382e-01	-1.2406681389401097e-21	9.8294925210847739e-01	-9.8294925210847728e-01	-4.8932973904042165e-02	1.3185055459258380e-01	-9.1702397481218534e-01	1.0488745294047692e+00	1.3185055459258380e-01	-1.3185055459258380e-01	4.4254165215019653e-01	5.4040759995828092e-01
7                       	-1.6476494127402375e-02	-6.3261189398592499e-22	4.1884375913885935e-01	-4.1884375913885941e-01	2.3144894077561852e-02	-1.6476494127402375e-02	-4.2708200620256059e-01	4.1060551207515822e-01	-1.6476494127402375e-02	1.6476494127402375e-02	2.3256677364699152e-01	1.8627698549186783e-01
8                       	1.6880071125519891e-01	-9.3622350283650083e-22	5.6804129449625529e-01	-5.6804129449625540e-01	-2.7092153715497894e-02	1.6880071125519894e-01	-4.8364093886865595e-01	6.5244165012385480e-01	1.6880071125519894e-01	-1.6880071125519894e-01	2.5692849353262975e-01	3.1111280096362554e-01
9                       	7.5107006899497661e-02	-6.7197357659388789e-22	4.8598981414840237e-01	-4.8598981414840242e-01	-2.1259671857571726e-02	7.5107006899497689e-02	-4.4843631069865358e-01	5.2354331759815120e-01	7.5107006899497689e-02	-7.5107006899497689e-02	2.2173523521662947e-01	2.6425457893177290e-01
10                      	1.1154098979695856e-01	-8.3819378078582215e-22	6.1404098071432334e-01	-6.1404098071432334e-01	-3.2866904371482340e-02	1.1154098979695856e-01	-5.5827048581584404e-01	6.6981147561280263e-01	1.1154098979695856e-01	-1.1154098979695856e-01	2.7415358598567935e-01	3.3988739472864399e-01
11                      	6.8172368168148173e-02	-6.4155056585555327e-22	6.2560642409420342e-01	-6.2560642409420353e-01	-4.3893627284731999e-02	6.8172368168148173e-02	-5.9152024001012948e-01	6.5969260817827757e-01	6.8172368168148173e-02	-6.8172368168148173e-02	2.6890958476236970e-01	3.5669683933183371e-01
12                      	8.9900856717087127e-02	-6.4624780685625359e-22	6.7829940054915017e-01	-6.7829940054915017e-01	-4.9845555712706074e-02	8.9900856717087169e-02	-6.3334897219060660e-01	7.2324982890769374e-01	8.9900856717087169e-02	-8.9900856717087169e-02	2.8930414456186904e-01	3.8899525598728113e-01
13                      	8.4519233583619499e-02	-5.1117876680090286e-22	6.8928546207666230e-01	-6.8928546207666241e-01	-5.8573902490367459e-02	8.4519233583619499e-02	-6.4702584528485263e-01	7.3154507886847220e-01	8.4519233583619499e-02	-8.4519233583619499e-02	2.8606882854796367e-01	4.0321663352869863e-01
14                      	9.7632430534299847e-02	-4.4869624289489165e-22	7.2331080551404880e-01	-7.2331080551404880e-01	-6.5982964128856958e-02	9.7632430534299847e-02	-6.7449459024689884e-01	7.7212702078119877e-01	9.7632430534299847e-02	-9.7632430534299847e-02	2.9567243862816744e-01	4.2763836688588136e-01
15                      	9.8640729958758569e-02	-3.6744952707549649e-22	7.4315237321147265e-01	-7.4315237321147254e-01	-7.1635480170888804e-02	9.8640729958758555e-02	-6.9383200823209323e-01	7.9247273819085184e-01	9.8640729958758555e-02	-9.8640729958758555e-02	2.9994070643484749e-01	4.4321166677662516e-01
16                      	1.0534783360496502e-01	-3.2358745322512755e-22	7.7041052172285962e-01	-7.7041052172285962e-01	-7.7352479481441874e-02	1.0534783360496504e-01	-7.1773660492037705e-01	8.2308443852534219e-01	1.0534783360496504e-01	-1.0534783360496504e-01	3.0785278137998795e-01	4.6255774034287167e-01
17                      	1.0844527360271221e-01	-2.8089126106961375e-22	7.9456495555176720e-01	-7.9456495555176743e-01	-8.2338973523490025e-02	1.0844527360271222e-01	-7.4034231875041134e-01	8.4878759235312351e-01	1.0844527360271222e-01	-1.0844527360271222e-01	3.1494350425239359e-01	4.7962145129937361e-01
