# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	U_converged             	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             	omega_solver            	omega_initial           	omega_final             	omega_iters             	omega_converged         
2                       	smoothSolver	9.9999645688414829e-01	5.4899156394301728e-02	4	9.9999767712626952e-01	5.6041852161358888e-02	4	false	smoothSolver	9.9999999999925149e-01	4.5900314151614159e-06	1	true	GAMG	1.0000000000000000e+00	9.6396265294926800e-02	80	true	smoothSolver	2.0376369473692538e-02	3.0278345718659078e-08	1	true
3                       	smoothSolver	9.3569928836672965e-05	5.0589872297567870e-06	2	1.1118814809509099e-04	5.9521043610086442e-06	2	false	smoothSolver	2.1617666582009051e-01	3.4186157100441378e-06	1	true	GAMG	1.5056367333870860e-03	1.4302035148064049e-04	50	true	smoothSolver	4.1528093305959208e-03	2.0792896921695930e-08	1	true
4                       	smoothSolver	1.8438467653251131e-05	7.9718350868957605e-07	2	3.4263820476574018e-05	1.4731493806816321e-06	2	false	smoothSolver	5.9429709025858729e-02	3.3999245113368302e-06	1	true	GAMG	3.3396844239572332e-04	3.2614603965464558e-05	56	true	smoothSolver	1.2222016916548090e-03	2.1156553838995410e-08	1	true
5                       	smoothSolver	1.0957477589071320e-05	3.7848491238306220e-07	2	1.6853229560348360e-05	6.6726376854789026e-07	2	false	smoothSolver	1.7797452565404680e-02	4.0234877328416777e-06	1	true	GAMG	5.4200653127000665e-04	5.2267841204359723e-05	62	true	smoothSolver	4.0165850126013002e-04	2.5362219449466102e-08	1	true
6                       	smoothSolver	8.3793432210970348e-06	2.7575517393706957e-07	2	1.2206490847168120e-05	3.9084052398480748e-07	2	false	smoothSolver	5.3056100112780068e-03	5.1268313640329509e-06	1	true	GAMG	3.1164887525497910e-04	3.1128860046086050e-05	51	true	smoothSolver	1.2120803853669840e-04	3.0931965703285408e-08	1	true
7                       	smoothSolver	7.4410334122696843e-06	2.1631476380855579e-07	2	9.5581960194695793e-06	2.9284144598408168e-07	2	false	smoothSolver	1.6417454289754500e-03	5.4197631909855727e-06	1	true	GAMG	2.7470555367265100e-03	2.6922593392514219e-04	42	true	smoothSolver	3.4013287026980811e-05	3.8646614162219308e-08	1	true
8                       	smoothSolver	5.8767007929375421e-06	1.7951415192815350e-07	2	7.4808090480176083e-06	2.2469086968049699e-07	2	false	smoothSolver	4.6739818585172051e-04	4.2460928536455917e-06	1	true	GAMG	7.0040978137272871e-04	6.6086367667212502e-05	44	true	smoothSolver	9.3353594041430835e-06	4.0398908565270349e-08	1	true
9                       	smoothSolver	4.8981199880941704e-06	1.7305444016681511e-07	2	6.0767851753910134e-06	1.9753378514881989e-07	2	false	smoothSolver	1.8645816677803021e-04	2.6761643817846250e-06	1	true	GAMG	1.9494367194900801e-04	1.9320275706784502e-05	37	true	smoothSolver	2.8117903594188211e-06	3.1838199823847449e-08	1	true
10                      	smoothSolver	4.7094490728821318e-06	1.7897827226031550e-07	2	5.4663259054611687e-06	1.8701575489410121e-07	2	false	smoothSolver	6.5837491911597312e-05	1.6934704448964780e-06	1	true	GAMG	1.9099564081854640e-04	1.8463083457687341e-05	32	true	smoothSolver	1.0697244298163870e-06	2.0487207539605029e-08	1	true
11                      	smoothSolver	4.0746705133204684e-06	1.6581765305336191e-07	2	4.7800459254258242e-06	1.7363984623465500e-07	2	false	smoothSolver	3.6942226584731243e-05	1.1405536039943369e-06	1	true	GAMG	1.7595132120506261e-04	1.6893701874671720e-05	42	true	smoothSolver	4.9356170753718547e-07	1.3407362084258700e-08	1	true
12                      	smoothSolver	3.9056451217279571e-06	1.6676254371525281e-07	2	4.4605923418701453e-06	1.7209379935982459e-07	2	false	smoothSolver	1.8927461281522450e-05	8.1413779265472390e-07	1	true	GAMG	1.9292240771007471e-04	1.8166733054126429e-05	28	true	smoothSolver	2.6585370006133682e-07	9.3490877100657769e-09	1	true
13                      	smoothSolver	3.8627817194791657e-06	1.6673827576799401e-07	2	4.2772964939325659e-06	1.6875200514370789e-07	2	false	smoothSolver	1.3226087685292770e-05	6.0905499602721129e-07	1	true	GAMG	1.5681154662014631e-04	1.5247912626853449e-05	26	true	smoothSolver	1.6214953520951150e-07	6.9291641750732090e-09	1	true
14                      	smoothSolver	3.9317427119933117e-06	1.7308962671931591e-07	2	4.1607515409920467e-06	1.6906699934095359e-07	2	false	smoothSolver	9.0513068909924552e-06	4.7238713163527162e-07	1	true	GAMG	1.3446511311652779e-04	1.3272640743072709e-05	34	true	smoothSolver	1.0992041528938640e-07	5.3706430643117136e-09	1	true
15                      	smoothSolver	4.0317083379974422e-06	1.8121032334247699e-07	2	4.1187640108628174e-06	1.7100103318787879e-07	2	false	smoothSolver	6.9548847524600777e-06	3.7762605550475462e-07	1	true	GAMG	1.1184562167208220e-04	1.1159922887426940e-05	39	true	smoothSolver	8.0742366366701659e-08	4.3085095864685948e-09	1	true
16                      	smoothSolver	4.2047785424453566e-06	1.8895968365314891e-07	2	4.1946988862726466e-06	1.7389642192087479e-07	2	false	smoothSolver	5.3965981301046339e-06	3.0797167927532142e-07	1	true	GAMG	9.5453477404156188e-05	9.2646660917163547e-06	42	true	smoothSolver	6.2785556342837851e-08	3.5483210706743358e-09	1	true
17                      	smoothSolver	4.3128057558764176e-06	1.9589911731323911e-07	2	4.1777352998698978e-06	1.7741627673084110e-07	2	false	smoothSolver	4.3491313974363997e-06	2.5557929371181350e-07	1	true	GAMG	8.5444760979288878e-05	8.3835041396109854e-06	47	true	smoothSolver	5.0801410503163972e-08	2.9849433615782171e-09	1	true
18                      	smoothSolver	4.4187262780958727e-06	2.0020186784665239e-07	2	4.1726953232304090e-06	1.7984035922122921e-07	2	false	smoothSolver	3.5579064839013322e-06	2.1478251176074549e-07	1	true	GAMG	7.8222147812445088e-05	7.6093300883938670e-06	48	true	smoothSolver	4.2271477088551463e-08	2.5554533685576839e-09	1	true
